   -17.19883    -18.97987    -17.19883
   -13.98062    -15.62498    -13.98062
   -16.55392    -18.31137    -16.55392
   -15.52370    -17.23944    -15.52370
   -17.32819    -19.11372    -17.32819
   -17.59080    -19.38516    -17.59080
   -18.23395    -20.04832    -18.23395
   -15.49338    -17.20782    -15.49338
   -13.95594    -15.59907    -13.95594
   -19.30307    -21.14422    -19.30307
   -17.41744    -19.20600    -17.41744
   -18.13722    -19.94873    -18.13722
   -19.96024    -21.81078    -19.96024
   -11.48956    -12.99475    -11.48956
   -20.26136    -22.10043    -20.26136
   -12.54340    -14.23017    -12.54340
   -17.50184    -19.29325    -17.50184
   -18.90656    -20.73893    -18.90656
   -20.10986    -21.93831    -20.10986
   -18.71617    -20.54379    -18.71617
   -19.89369    -21.74378    -19.89369
   -19.18267    -21.02134    -19.18267
   -15.40574    -17.11640    -15.40574
   -19.91947    -21.73896    -19.91947
   -18.74969    -20.57818    -18.74969
   -17.63773    -19.43363    -17.63773
   -19.01854    -20.85355    -19.01854
   -14.52383    -16.19454    -14.52383
   -17.28167    -19.06559    -17.28167
   -16.29409    -18.04148    -16.29409
   -17.88031    -19.68398    -17.88031
   -18.19168    -20.00481    -18.19168
   -16.80297    -18.56977    -16.80297
   -17.57538    -19.36923    -17.57538
   -18.18448    -19.99739    -18.18448
   -18.52925    -20.35194    -18.52925
   -17.62547    -19.42097    -17.62547
   -16.41427    -18.16635    -16.41427
   -18.84231    -20.67311    -18.84231
   -15.63473    -17.35520    -15.63473
   -17.45569    -19.24555    -17.45569
   -13.33331    -14.94449    -13.33331
   -14.23667    -15.89362    -14.23667
   -17.66642    -19.46326    -17.66642
   -13.08058    -14.67826    -13.08058
   -18.50089    -20.32280    -18.50089
   -15.47531    -17.18898    -15.47531
   -19.37427    -21.21682    -19.37427
   -16.51140    -18.26723    -16.51140
   -18.24376    -20.05841    -18.24376
   -17.84337    -19.64587    -17.84337
   -18.97137    -20.80529    -18.97137
   -18.94541    -20.77871    -18.94541
   -18.64249    -20.46820    -18.64249
   -20.02490    -21.87569    -20.02490
   -19.15453    -20.99259    -19.15453
   -18.44670    -20.26712    -18.44670
   -17.52024    -19.31226    -17.52024
   -14.78552    -16.46844    -14.78552
   -19.99426    -21.84496    -19.99426
   -17.99222    -19.79935    -17.99222
